"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpyHtoD,2,280175798,140087899,99.67215026465473
hipModuleLoad,1,612894,612894,0.21803618763782479
hipDeviceSynchronize,2,163104,81552,0.05802402103541522
hipMalloc,2,106649,53324,0.03794023334440601
hipExtModuleLaunchKernel,10,22100,2210,0.00786204424712255
hipFree,2,7022,3511,0.0024980667286558615
hipModuleGetFunction,2,2986,1493,0.001062265344882712
hipCtxCreate,1,2725,2725,0.0009694149580728031
hipInit,1,2474,2474,0.0008801220573475651
hipCtxDestroy,1,1012,1012,0.0003600175917686887
hipDeviceGet,1,611,611,0.00021736239977338814
