"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpyHtoD,2,280224472,140112236,99.70885635140652
hipModuleLoad,1,608446,608446,0.21649591978386487
hipMalloc,2,84798,42399,0.03017263817303783
hipDeviceSynchronize,2,80180,40090,0.028529471552562243
hipExtModuleLaunchKernel,10,28064,2806,0.009985670861201132
hipFree,2,8776,4388,0.003122657050951437
hipModuleGetFunction,2,3116,1558,0.0011087282783460207
hipInit,1,1633,1633,0.0005810504744990539
hipCtxCreate,1,1502,1502,0.0005344383421295646
hipCtxDestroy,1,1362,1362,0.00048462384952095006
hipDeviceGet,1,361,361,0.00012845022736935607
